,isNew,is4,is3GS,is8G,is16G,is32G,Seller Level,Starting Price,No of Bidders,No of Bids,Duration,No of Bids of Bidder,No of Bids in 30 Days,Items in Bids
isNew,1,,,,,,,,,,,,,
is4,-0.084217857,1,,,,,,,,,,,,
is3GS,-0.179713919,-0.686101118,1,,,,,,,,,,,
is8G,-0.039636127,-0.186922561,0.394451957,1,,,,,,,,,,
is16G,-0.093478783,0.053125371,-0.173556406,-0.618640485,1,,,,,,,,,
is32G,0.104832175,0.153115558,-0.167679335,-0.226915215,-0.598457581,1,,,,,,,,
Seller Level,-0.073341733,-0.072849463,0.127491318,0.175131305,-0.093914756,-0.05558564,1,,,,,,,
Starting Price,0.408034897,-0.134185688,-0.338319463,-0.185661019,-0.043835205,0.11007305,-0.075533286,1,,,,,,
No of Bidders,-0.080853338,0.257469565,-0.131569794,-0.161599015,0.021927556,0.167979971,-0.013979455,-0.426653866,1,,,,,
No of Bids,-0.026293021,0.186787338,-0.080846064,-0.090327683,-0.04218763,0.170204282,-0.025115894,-0.430989862,0.881731876,1,,,,
Duration,0.120368654,-0.074082664,0.164207598,0.004164,-0.069343804,0.063877943,-0.079915929,0.060587263,-0.000593664,-0.124452576,1,,,
No of Bids of Bidder,0.043908934,0.080409322,-0.012933249,0.043908934,-0.025037017,-0.000290202,-0.035337085,-0.120296223,0.181740658,0.403544941,-0.164485879,1,,
No of Bids in 30 Days,-0.0649353,-0.229320474,0.35276566,0.200740756,-0.062887831,-0.117536568,-0.045949056,-0.188864359,0.057219776,0.097051165,-0.010340735,-0.041647031,1,
Items in Bids,-0.104344595,-0.244281166,0.358369548,0.168891726,-0.046871113,-0.106499391,-0.038914028,-0.189050089,0.061847613,0.092082929,-0.02870521,-0.096668995,0.976757846,1
